review_id,review_text,star_rating,category,sentiment
0,"Quick review: Not worth a single cent. Breaks easily, looks cheap, works poorly.",1,Books,negative
1,Three stars because it's functional but lacks refinement in design. Very satisfied.,3,Home & Garden,neutral
2,Performs adequately for my needs. Won't be recommending it strongly.,3,Home & Garden,neutral
3,Passable quality. It works for occasional use but I wouldn't rely on it heavily. Highly recommend.,3,Kitchen,neutral
4,"Update: Cheap material, poor instructions, and it doesn't even do what it claims. Would buy again.",1,Electronics,negative
5,Update: Works perfectly out of the box. No issues whatsoever. Very happy customer. Very satisfied.,4,Books,positive
6,Quick review: Worst purchase ever. Returned it immediately. Absolute garbage.,2,Books,negative
7,I expected so much more. This product is a total letdown. 1 star is too many. Very satisfied.,2,Electronics,negative
8,Update: I bought this as a gift and the recipient was thrilled. Very high quality.,5,Home & Garden,positive
9,Best purchase I've made this year. Quality is outstanding and price is fair.,5,Clothing,positive
10,"This is exactly what I needed. Works great, looks great, feels premium. Highly recommend.",5,Beauty,positive
11,Update: Performs adequately for my needs. Won't be recommending it strongly.,3,Home & Garden,neutral
12,Three stars because it's functional but lacks refinement in design.,3,Books,neutral
13,Update: This product is an embarrassment. Completely non-functional from day one.,1,Toys,negative
14,Quick review: Does not work as advertised. Misleading description. Very unhappy. Very satisfied.,1,Beauty,negative
15,"Honest opinion: Solid product, great price. Exactly as shown in the pictures. Highly recommend.",4,Kitchen,positive
16,Honest opinion: This is a scam. The item is poorly made and falls apart immediately.,1,Beauty,negative
17,Great value for money. Does everything it promises and more. Highly recommend.,5,Home & Garden,positive
18,Quick review: Mediocre product. Gets the job done but requires patience and workarounds.,3,Books,neutral
19,Honest opinion: I've never been so frustrated with a purchase. It's unusable garbage. Very satisfied.,1,Books,negative
20,Terrible quality control. Mine had loose parts and a cracked frame from the start.,2,Home & Garden,negative
21,"Update: Not worth a single cent. Breaks easily, looks cheap, works poorly.",1,Home & Garden,negative
22,"Not bad, not great. If you need something basic and cheap this will do. Highly recommend.",3,Sports,neutral
23,Update: It arrived on time. Works as described. Nothing more to say really. Very satisfied.,3,Books,neutral
24,Honest opinion: Neutral on this one. Works sometimes but has occasional hiccups. Would buy again.,3,Beauty,neutral
25,"Quick review: Outstanding quality. Sturdy, well-designed and does the job exceptionally well. Highly recommend.",4,Home & Garden,positive
26,Quick review: Incredibly satisfied with this purchase. Will definitely buy again. Highly recommend.,5,Beauty,positive
27,Quick review: Overpriced junk. You can find better quality at a dollar store. Would buy again.,1,Clothing,negative
28,Honest opinion: Works perfectly out of the box. No issues whatsoever. Very happy customer. Very satisfied.,5,Toys,positive
29,Quick review: Decent enough but I've seen better options at similar prices. Very satisfied.,3,Home & Garden,neutral
30,This is a scam. The item is poorly made and falls apart immediately. Would buy again.,1,Sports,negative
31,Passable quality. It works for occasional use but I wouldn't rely on it heavily.,3,Beauty,neutral
32,Quick review: Five stars without hesitation. My whole family loves it and uses it daily. Highly recommend.,5,Beauty,positive
33,Update: This product is an embarrassment. Completely non-functional from day one. Very satisfied.,2,Kitchen,negative
34,Terrible quality control. Mine had loose parts and a cracked frame from the start. Very satisfied.,2,Home & Garden,negative
35,Some assembly required which was annoying but the result is acceptable. Would buy again.,3,Kitchen,neutral
36,Honest opinion: Do not buy this. It stopped working within a week and support was useless. Highly recommend.,2,Clothing,negative
37,"Outstanding quality. Sturdy, well-designed and does the job exceptionally well. Would buy again.",4,Beauty,positive
38,"Not bad, not great. If you need something basic and cheap this will do. Would buy again.",3,Home & Garden,neutral
39,"Quick review: Solid product, great price. Exactly as shown in the pictures.",4,Books,positive
40,"Honest opinion: Super easy to use, excellent quality, fast delivery. Couldn't ask for more!",4,Home & Garden,positive
41,Update: Amazing product!! Works better than I expected. Definitely buying more.,5,Sports,positive
42,Honest opinion: Performs adequately for my needs. Won't be recommending it strongly.,3,Toys,neutral
43,Quick review: Neither impressed nor disappointed. It's a fine product for basic use. Very satisfied.,3,Beauty,neutral
44,Does what it says but the build quality could be better. Would buy again.,3,Books,neutral
45,"It gets the job done. Not the best, not the worst. Middle of the road. Would buy again.",3,Books,neutral
46,Update: It arrived on time. Works as described. Nothing more to say really. Would buy again.,3,Books,neutral
47,Quick review: It's okay for the price. Does the job but nothing exceptional.,3,Home & Garden,neutral
48,This is a scam. The item is poorly made and falls apart immediately. Highly recommend.,2,Home & Garden,negative
49,Update: Very disappointed. The product looks nothing like the pictures. Cheap quality.,2,Books,negative
50,Quick review: Huge disappointment. Nothing like what was advertised. Would give zero stars.,1,Sports,negative
51,"Pretty standard product. Does what it advertises, nothing more. Highly recommend.",3,Clothing,neutral
52,Quick review: Works perfectly out of the box. No issues whatsoever. Very happy customer. Would buy again.,4,Electronics,positive
53,Stopped functioning after 3 days. This is a waste of your hard earned money.,1,Toys,negative
54,Five stars without hesitation. My whole family loves it and uses it daily.,4,Kitchen,positive
55,I've tried many similar products and this one is by far the best. Would buy again.,5,Beauty,positive
56,Update: Exceeded my expectations. The build quality is solid and it performs perfectly. Very satisfied.,4,Sports,positive
57,Update: This product changed the way I do things. Absolutely worth every penny. Highly recommend.,5,Beauty,positive
58,Average product. Works as expected but don't expect anything amazing. Would buy again.,3,Books,neutral
59,Update: This product changed the way I do things. Absolutely worth every penny. Very satisfied.,4,Beauty,positive
60,Works perfectly out of the box. No issues whatsoever. Very happy customer.,5,Books,positive
61,Decent enough but I've seen better options at similar prices.,3,Sports,neutral
62,Performs adequately for my needs. Won't be recommending it strongly.,3,Kitchen,neutral
63,"Update: Not bad, not great. If you need something basic and cheap this will do.",3,Toys,neutral
64,Honest opinion: Works fine so far. Time will tell if it lasts. Average quality overall. Highly recommend.,3,Sports,neutral
65,Mediocre product. Gets the job done but requires patience and workarounds.,3,Books,neutral
66,Honest opinion: An average experience overall. Nothing to get excited about here. Highly recommend.,3,Sports,neutral
67,"Quick review: Outstanding quality. Sturdy, well-designed and does the job exceptionally well. Very satisfied.",4,Clothing,positive
68,Some assembly required which was annoying but the result is acceptable. Highly recommend.,3,Kitchen,neutral
69,Do not buy this. It stopped working within a week and support was useless. Highly recommend.,2,Clothing,negative
70,"This is exactly what I needed. Works great, looks great, feels premium.",4,Beauty,positive
71,It arrived on time. Works as described. Nothing more to say really. Would buy again.,3,Toys,neutral
72,Honest opinion: I've never been so frustrated with a purchase. It's unusable garbage. Very satisfied.,1,Home & Garden,negative
73,"Quick review: Solid product, great price. Exactly as shown in the pictures.",5,Books,positive
74,Amazing product!! Works better than I expected. Definitely buying more.,4,Sports,positive
75,Honest opinion: Returned the next day. The product was defective and the smell was awful.,1,Clothing,negative
76,Does what it says but the build quality could be better. Highly recommend.,3,Clothing,neutral
77,"Not worth a single cent. Breaks easily, looks cheap, works poorly. Highly recommend.",1,Electronics,negative
78,Honest opinion: Incredibly satisfied with this purchase. Will definitely buy again.,5,Home & Garden,positive
79,Quick review: Broke on the first use. Poor craftsmanship. Avoid at all costs. Very satisfied.,2,Home & Garden,negative
80,Terrible product. Broke after just two days of normal use. Complete waste of money.,1,Clothing,negative
81,Honest opinion: Very disappointed. The product looks nothing like the pictures. Cheap quality. Would buy again.,1,Books,negative
82,Honest opinion: I expected so much more. This product is a total letdown. 1 star is too many.,1,Sports,negative
83,"Update: Solid product, great price. Exactly as shown in the pictures. Very satisfied.",5,Clothing,positive
84,"Honest opinion: This is exactly what I needed. Works great, looks great, feels premium. Would buy again.",5,Home & Garden,positive
85,Quick review: Decent enough but I've seen better options at similar prices.,3,Sports,neutral
86,Huge disappointment. Nothing like what was advertised. Would give zero stars. Would buy again.,2,Home & Garden,negative
87,Highly recommend to anyone looking for a reliable product in this category. Very satisfied.,5,Clothing,positive
88,Update: Performs adequately for my needs. Won't be recommending it strongly.,3,Toys,neutral
89,Update: I've tried many similar products and this one is by far the best.,5,Home & Garden,positive
90,Honest opinion: I expected so much more. This product is a total letdown. 1 star is too many. Would buy again.,2,Home & Garden,negative
91,Honest opinion: Broke on the first use. Poor craftsmanship. Avoid at all costs. Highly recommend.,2,Kitchen,negative
92,"The product arrived late, broken, and looked used. Never buying here again. Highly recommend.",1,Clothing,negative
93,Honest opinion: Some assembly required which was annoying but the result is acceptable.,3,Toys,neutral
94,Works fine so far. Time will tell if it lasts. Average quality overall. Would buy again.,3,Beauty,neutral
95,Update: Some assembly required which was annoying but the result is acceptable. Would buy again.,3,Home & Garden,neutral
96,Update: This product is an embarrassment. Completely non-functional from day one.,2,Books,negative
97,Honest opinion: Neither impressed nor disappointed. It's a fine product for basic use.,3,Toys,neutral
98,Three stars because it's functional but lacks refinement in design. Would buy again.,3,Sports,neutral
99,Honest opinion: An average experience overall. Nothing to get excited about here. Very satisfied.,3,Electronics,neutral
100,Update: Exceeded my expectations. The build quality is solid and it performs perfectly. Highly recommend.,4,Kitchen,positive
101,It arrived on time. Works as described. Nothing more to say really. Would buy again.,3,Books,neutral
102,Honest opinion: Absolutely love this product! Works exactly as described and arrived quickly. Very satisfied.,5,Home & Garden,positive
103,Update: I bought this as a gift and the recipient was thrilled. Very high quality. Highly recommend.,4,Beauty,positive
104,Honest opinion: Terrible product. Broke after just two days of normal use. Complete waste of money.,1,Home & Garden,negative
105,Update: It arrived on time. Works as described. Nothing more to say really.,3,Electronics,neutral
106,Update: Exceeded my expectations. The build quality is solid and it performs perfectly.,5,Clothing,positive
107,Do not buy this. It stopped working within a week and support was useless. Highly recommend.,2,Home & Garden,negative
108,This is a scam. The item is poorly made and falls apart immediately.,2,Home & Garden,negative
109,Update: It arrived on time. Works as described. Nothing more to say really. Would buy again.,3,Beauty,neutral
110,Quick review: This product is an embarrassment. Completely non-functional from day one. Would buy again.,1,Beauty,negative
111,An average experience overall. Nothing to get excited about here. Would buy again.,3,Beauty,neutral
112,"Update: Super easy to use, excellent quality, fast delivery. Couldn't ask for more! Highly recommend.",5,Toys,positive
113,Quick review: Amazing product!! Works better than I expected. Definitely buying more.,4,Toys,positive
114,"Update: Not worth a single cent. Breaks easily, looks cheap, works poorly. Would buy again.",2,Books,negative
115,Quick review: Passable quality. It works for occasional use but I wouldn't rely on it heavily. Would buy again.,3,Home & Garden,neutral
116,Absolutely love this product! Works exactly as described and arrived quickly. Highly recommend.,5,Kitchen,positive
117,Update: Terrible quality control. Mine had loose parts and a cracked frame from the start. Very satisfied.,2,Toys,negative
118,Update: It arrived on time. Works as described. Nothing more to say really.,3,Clothing,neutral
119,Quick review: Broke on the first use. Poor craftsmanship. Avoid at all costs. Very satisfied.,2,Home & Garden,negative
120,Quick review: Very disappointed. The product looks nothing like the pictures. Cheap quality.,2,Sports,negative
121,"Instructions are useless, product doesn't work, and returns are a nightmare. Very satisfied.",2,Electronics,negative
122,Update: Amazing product!! Works better than I expected. Definitely buying more. Highly recommend.,5,Clothing,positive
123,Honest opinion: Decent enough but I've seen better options at similar prices. Very satisfied.,3,Toys,neutral
124,Quick review: I've tried many similar products and this one is by far the best. Very satisfied.,4,Sports,positive
125,Works fine so far. Time will tell if it lasts. Average quality overall. Would buy again.,3,Home & Garden,neutral
126,This product changed the way I do things. Absolutely worth every penny. Would buy again.,5,Home & Garden,positive
127,Fantastic product. Easy to set up and the customer support was very helpful. Would buy again.,5,Beauty,positive
128,Best purchase I've made this year. Quality is outstanding and price is fair. Highly recommend.,4,Home & Garden,positive
129,"Honest opinion: Pretty standard product. Does what it advertises, nothing more. Would buy again.",3,Kitchen,neutral
130,Worst purchase ever. Returned it immediately. Absolute garbage. Would buy again.,2,Clothing,negative
131,Exceeded my expectations. The build quality is solid and it performs perfectly. Highly recommend.,4,Beauty,positive
132,Honest opinion: Fantastic product. Easy to set up and the customer support was very helpful.,4,Kitchen,positive
133,Neutral on this one. Works sometimes but has occasional hiccups. Very satisfied.,3,Sports,neutral
134,"Shipping was fast, packaging was secure, and the product is top notch!",4,Beauty,positive
135,Five stars without hesitation. My whole family loves it and uses it daily. Highly recommend.,5,Sports,positive
136,Quick review: I expected so much more. This product is a total letdown. 1 star is too many.,1,Clothing,negative
137,Incredibly satisfied with this purchase. Will definitely buy again.,5,Beauty,positive
138,Returned the next day. The product was defective and the smell was awful.,2,Toys,negative
139,Absolutely love this product! Works exactly as described and arrived quickly. Very satisfied.,4,Beauty,positive
140,Quick review: An average experience overall. Nothing to get excited about here.,3,Electronics,neutral
141,Some assembly required which was annoying but the result is acceptable.,3,Home & Garden,neutral
142,Quick review: Best purchase I've made this year. Quality is outstanding and price is fair. Would buy again.,5,Home & Garden,positive
